input,output,meaning,pos,num_cognates
[sga] gein [gle] giniúint [lat] genimen [lat] germen [san] जनिमन् [san] जन्मन् [san] जन्म [pus] جميا,*ǵénh₁mn̥,"offspring, seed",noun,10
[hye] ծին [grc] γένος [lat] genus,*ǵénh₁os,"race, lineage",noun,3
[grc] -γνητός [lat] gnātus [lat] nātus,*ǵn̥h₁tós,"begotten, produced",adj,3
[hye] մեռնել [san] ममार [lit] mãras [san] मार [grc] μορτός [san] मर्त [ave] 𐬨𐬀𐬭𐬆𐬙𐬀 [lat] morbus [sqi] mërshë [san] मृ,*mer-,"to die, to disappear",root,10
[san] जुषते [san] जोषयते [hit] kukušzi [san] जुजोष [san] जोष [ave] 𐬰𐬀𐬊𐬱𐬀 [san] जुष्टि [grc] γευστός [san] जुष्ट [ave] 𐬰𐬎𐬱𐬙𐬀 [san] जोष्टृ [sga] gúasacht,*ǵews-,"to taste, try",root,13
[hye] եմ,*h₁ésmi,first-person singular present indicative of *h₁ésti,verb,1
[hit] militt- [xlu] mallit- [pal] mallitanna- [xcl] մեղր [xcl] մեղու [gmy] 𐀕𐀪 [grc] μέλι [lat] mel,*mélit,honey,noun,8
[lat] dūxī [lat] dux [lat] ductus [sqi] nduk [hit] tukzi- [hit] tukkanzi-,*dewk-,"to pull, to draw, to lead (i.e. to pull behind oneself)",root,6
[xcl] աճեմ [lav] augt [lit] áugti [grc] αὐξάνω [san] उक्षति [lat] augur [lat] augustus [sqi] ag [ave] 𐬎𐬑𐬱𐬌𐬌𐬈𐬌𐬙𐬍 [ave] 𐬬𐬀𐬑𐬱𐬙 [fas] وخشیدن [lat] auxilium [lav] augsts [lit] aũkštas [lit] augestis,*h₂ewg-,"to increase, to enlarge, to become strong",root,15
[grc] ἀέξω [grc] αὐξάνω [grc] αὔξω [san] वक्षयति [fas] وخشیدن,*h₂weg-,"to increase, to enlarge",root,5
[xcl] -է [lit] at- [lav] at- [prg] et- [prg] at- [grc] ἔτι [san] अति [old] 𐎠𐎫𐎹 [lat] et [txb] ate [txb] -ṣ,*éti,"beyond, over, and",adv,11
[grc] τέγγω [lat] tingō [grc] ἔτεγξᾰ [lat] tīnxī,*teng-,to make wet,root,4
[lat] tongeō [xto] tuṅk [txb] taṅkw,*teng-,"to think, to perceive",root,3
[lit] treñkti [lav] trìecu [ave] 𐬨𐬀𐬀𐬚𐬭𐬀𐬑𐬙𐬥 [fas] ترنجیدن [lat] truncus,*trenkʷ-,"to push, to press",root,5
[eng] stilt [deu] Stelze [dan] stylte [ell] στέλνω [lat] locus [ces] štóla [eng] stollen [lat] stolō [grc] στήλη [grc] στόλος [san] स्थल [ell] στολή [eng] stola [eng] stole [ita] stola [pol] stola [spa] estola [swe] stola [san] स्थला [lat] stultus [lat] stolidus [sqi] shtjell [xcl] ստեղն [xcl] ստեղծանեմ [xcl] առաստաղ [lav] stal̃lis [lit] stal̃das [grc] στελεός [grc] στελεά,*stel-,"to put, to place; to locate, to be stiff (< to be set/firm)",root,75
[prg] au- [lav] au- [lit] au- [grc] αὖτε [san] उ [lat] au-,*h₂ew,"away from, off, again",adv,6
[sqi] -shëm [sqi] -shme [sqi] -çëm [sqi] -çme [gle] -san [gla] -san [grc] ὁμός [xto] sоmа- [txb] sоmо-,*somHós,"same, alike, alone",adj,17
[lav] smiêt [lav] smieties [san] स्मयते [txb] smiyäṃ [xto] smimāṃ [lav] smaĩdît [lav] smaîdinât [lav] smîdînât [lat] mīrus [san] स्मेर [lat] cōmis [grc] μειδάω [grc] μειδιάω,*(s)mey-,"to laugh, to be glad",root,13
[ang] mealt [mid] malz [isl] maltur,*(s)meld-,"to soften, melt",root,3
[lat] memordī [lat] momordī [san] मर्दति [lat] mordeō [ave] 𐬨𐬋𐬭𐬆𐬧𐬛𐬀𐬝 [old] vi-mạr(n)datiy [lat] merda [grc] σμερδνός [lav] smards [lit] smárdas [lat] morsus [hye] մարտ [grc] σμερδαλέος [xto] märtk [txb] märtk,*(s)merd-,"to bite, to sting",root,16
[gle] smól,*smel-,"to burn, smoulder, smoke, tar, pitch",root,3
[ell] άκμων [ell] άκμονας [ell] αμόνι,*h₂éḱmō,"stone, heaven, the heavenly vault",noun,3
[lat] cadō [san] शशाद [lat] cecidī [xcl] ցած [sga] casar [cym] cesair [bre] kazerc'h,*ḱh₂d-,to fall,root,11
[grc] ἑσπόμην [san] सचान [san] सचीमहि [ave] 𐬵𐬇𐬗𐬁 [ave] 𐬯𐬗𐬀𐬧𐬙𐬏 [san] सश्चुर् [san] सचा [lat] secus [lat] (pedi)sequus [grc] ὀπάων [san] सक्त [ave] 𐬵𐬀𐬑𐬙𐬀 [mid] hʾht [lat] secūtus [lat] sector [sqi] shoh [grc] ἑπέτης [gmy] 𐀁𐀤𐀲 [fas] هخامنش [grc] Ἀχαιμένης,*sekʷ-,to follow,root,20
[hit] 𒊭𒀀𒆪𒉿 [lyc] 𐊗𐊁𐊇𐊁 [lyc] 𐊑𐊗𐊁𐊇𐊚 [sqi] shoh,*sekʷ-,to see,root,8
[grc] ἐνέπω [grc] ἐννέπω [lat] īnsece [lat] inquam [sga] insce [grc] ἄσπετος [grc] θέσπις [grc] ἀσπάζομαι [grc] ἀσπάσιος,*sekʷ-,to say,root,11
[lat] aveō [san] अवति [sga] con·ói [grc] ἐν-ηής [bre] youl [cym] ewyllys [san] आवयत् [san] अवस [lat] avārus,*h₂ew-,"to enjoy, to consume",root,10
[lit] ovyje [bul] наяве [pol] jawa [ang] ēawis [ang] *awi-wissa- [goh] awizoraht [goh] *awi-turhta- [san] आविस् [ave] 𐬁𐬬𐬍𐬱 [ave] 𐬁𐬎𐬎𐬌𐬱 [grc] αἴσθομαι [grc] αἰσθάνομαι [lat] audiō [lit] aumuõ [hit] 𒌋𒀪𒄭 [lit] ovytis [chu] авити [chu] ꙗвити [sga] con·ói [grc] ἀΐω,*h₂ew-,"to perceive, see, to be aware of",root,33
[lat] captus,*kaptós,"seized, held",adj,1
[lit] su- [grc] εὐ- [gmy] 𐀁𐀄- [xcl] հ-,*h₁su-,good,prefix,4
[xcl] տ- [lat] dis-,*dus-,bad,prefix,2
[san] हति [ave] 𐬘𐬀𐬌𐬧𐬙𐬌 [fas] زدن,*gʷʰéntis,"striking, killing",noun,3
[lat] moenia [lat] mūniō,*mey-,to strengthen,root,2
[sga] do·dímen [san] मिनोति [grc] μίτρα,*mey-,to bind,root,3
[san] मयते [lat] (trā)mes [lat] (sē)mita [lat] mūtō [san] मिनाति [lat] meō [sga] mían [lav] maîna [lav] maĩņa [san] मेना [lav] mainīt [lit] mainyti [lit] mai̇̃nas [grc] μοῖνος [lat] mūnis [lat] mūnia [lat] immūnis [lit] mît [mid] tremyn,*mey-,"to change, to exchange, to change places → to go past",root,20
[san] मिनाति [lat] minor [lat] minus [non] mjór [grc] μείων [grc] μινύθω [grc] μίνυνθα [lat] minimus [txb] maiwe,*mey-,"small, little",root,11
[xto] pärkatäre [txb] pärkatäre [san] बबृहाण [cym] bwrw [sga] ·díbairg [hit] 𒈦𒆠𒄿𒀀𒊍𒍣 [xcl] բառնամ [san] बृंहति [ave] 𐬠𐬀𐬭𐬆𐬰𐬌𐬨𐬀𐬥𐬄𐬨 [ave] 𐬠𐬀𐬭𐬆𐬱𐬥𐬀 [lat] fortis [xto] pärkär [txb] pärkare [san] ब्रह्मन्,*bʰerǵʰ-,"to rise up, ascend, to be elevated, up high",root,14
[sqi] nuse [hye] նու [grc] νυός [lat] nurus [txb] santse,*snusós,daughter-in-law,noun,5
[hit] 𒄷𒄴𒄩𒀸 [xlu] 𒄷𒌋𒄩 [xlu] 𔕳𔓷 [lyc] 𐊜𐊒𐊄𐊀 [xcl] հաւ [lat] avus [txb] āwe,*h₂éwh₂os,"maternal grandfather, maternal uncle",noun,7
[lat] ōrdior [lat] ōrdō [lav] ir [lit] ir̃ [prg] ir [prg] er [grc] ἄρα [grc] ἀραρίσκω [xcl] արար- [grc] ἀράχνη [grc] ἀράχνης [lat] arānea [lat] arāneus [grc] ἄρθρον [ell] άρμα [lat] armentum [grc] ἁρμός [grc] ἁρμόζω [lat] harmonia [rus] гармония [lat] arma [hye] արմունկ [lav] ir̃mi [lit] irmėdė [prg] irmo [san] ईर्म [ave] 𐬀𐬭𐬨𐬀 [lat] armus [lat] rāmus [txb] āmpär [lat] ars [xto] ārts [txb] artsa [hye] արդ [lit] arti̇̀ [grc] ἄρτι [hye] արդուկ [grc] ἀρτύς [grc] ἀρτύω [san] ऋतु [ave] 𐬭𐬀𐬙𐬎 [ita] arto [xto] ārt- [txb] ārtt- [non] *err [got] *𐌰𐍂𐌾𐌹𐍃 [grc] ἀρείων [ell] αριστερός [san] अलम् [grc] ἁμαρτή [grc] ὁμαρτέω,*h₂er-,"to fit, to fix, to put together, to slot",root,79
[hye] արյուն [lav] asinis [lat] assarātum [xto] ysār [txb] yasar,*h₁ésh₂r̥,blood,noun,7
[eng] yode [eng] yede [got] 𐌹𐌳𐌳𐌾𐌰 [got] 𐌹𐌳𐌳𐌾𐌴𐌳𐌿𐌽 [txb] eye [san] एमन् [txb] aiñye [txb] aittäṃ [sga] óeth [hit] 𒄿𒉿𒅈 [san] इव [sqi] eja [sqi] iki [hit] 𒄿𒄿𒀀𒀜𒋫 [isl] eigra [fas] جن [fas] آی [san] एव [xto] i- [txb] i-,*h₁ey-,to go,root,40
[san] गमयति [san] अध्वगत् [sqi] gati [hye] եկ [prg] gemton [lit] gỹmis [lav] ģimene [san] गम् [xto] kum- [txb] käm-,*gʷem-,"to come, to step",root,10
[lav] dzìmts [lit] gimti̇̀s [lat] ventiō,*gʷémtis,"step, act of walking",noun,3
[grc] τέρσομαι [goh] dorrēn [lat] torrēns [gle] tearc [lat] tesquum [lat] tescum [sga] tur [ave] 𐬙𐬀𐬭𐬱𐬎 [mid] tšknk' [xcl] թաշկինակ [deu] Darre [nor] tarre [swe] tarre [grc] ταρσός [lat] torrus [sqi] ter [xcl] թառամ [xcl] թարշամ-,*ters-,dry,root,18
[grc] βραχύς,*mréǵʰus,"short, brief",adj,1
[san] आ [ave] 𐬁 [lat] ad [lat] ad- [lat] (ap)ud,*h₂éd,"to, at",adv,18
[lav] ùotrs [lav] uotars [lav] otrs [lit] añtras [lit] añtaras [prg] antars [prg] antrā [prg] anters [san] अन्तर [ave] 𐬀𐬧𐬙𐬀𐬭𐬀 [pus] نور [lat] anterior,*h₂énteros,"second, other",det,12
[grc] ἦρι,*h₂éyeri,"early, in the morning",adv,1
[xto] poke [txb] poko,*bʰeh₂ǵʰús,arm,noun,2
[san] बन्धति [san] बन्धयति [ave] 𐬠𐬀𐬥𐬛𐬀𐬌𐬌𐬀𐬌𐬙𐬌 [lat] funda [spa] boina [gla] bonaid [ita] bonet [spa] bonete [por] boné [gle] buinne [eng] bandana [ave] 𐬠𐬀𐬥𐬛𐬀 [pus] وندی [fas] بستن [hye] բանտ [xcl] -աւանդ [xcl] -աւանդակ [xcl] մեհեւանդ [xcl] կարաւանդք [xcl] պախճաւանդ [xcl] պարաւանդ [xcl] դանդանաւանդ [xcl] շարաւանդ [lat] offendīx [grc] Βενδῖς [san] बन्ध्,*bʰendʰ-,"to bind, bond",root,29
[ell] φεύγω [grc] ἔφυγον [lat] fugiō,*bʰewg-,to flee,root,3
[san] भुनक्ति [lat] fungor [hye] բուծել [san] बुभुजे [xcl] բուտ [san] भुक्ति [san] भुज् [san] भुक् [ave] 𐬠𐬏𐬘 [ave] 𐬠𐬀𐬊𐬑𐬱𐬥𐬀,*bʰewg-,"to enjoy, benefit",root,10
[hye] բդկել,*bʰeyd-,to split,root,1
[san] भित्त [lat] fissus,*bʰidtós,"split, cloven",adj,2
[sqi] bind [sqi] bíndem [lat] foedus [sqi] besë [grc] πί̆στῐς,*bʰeydʰ-,"to trust, to convince",root,5
[ell] πιστός [lat] fīsus,*bʰidʰtós,"trusted, trustworthy",adj,2
[san] भिन्न,*bʰidnós,"split, cloven",adj,1
[lit] -inas [prg] -ins [eng] -en [grc] -νος [lat] -nus [lat] -ānus [lat] -iānus [lat] -ēnus [lat] -īnus [lat] -ūnus [sqi] -një,*-nós,Creates verbal adjectives from roots.,suffix,14
[lat] frangō [sqi] brishtë [sqi] breshër,*bʰreg-,to break,root,3
[cym] bref [cel] Bremia [cel] Bremenium [san] भ्रमति [mid] blʾmynd [lat] fremō [pol] brzmieć [san] भ्रमत् [san] भृङ्ग,*bʰrem-,to make noise,root,10
[grc] πυστός,*bʰudʰtós,aware,adj,1
[lat] fuga,*bʰugéh₂,"flight, escape",noun,1
[hye] տեգր [hye] տագր [lit] di̇́everis [lav] diẽveris [grc] δᾱήρ [lat] lēvir [lat] laevir,*dayh₂wḗr,"brother-in-law, husband’s brother",noun,9
[ell] δείχνω [san] देशयति [san] दिशति [san] दिश् [lat] in-dex [lat] iū-dex [lat] vin-dex [san] देश [ell] δικαίωμα [san] दिशा [grc] δεῖγμα [san] दिष्ट [lat] dictus [lat] digitus [lit] daiktas,*deyḱ-,"to point out, to show",root,19
[lyc] 𐊈𐊆𐊇 [xlu] 𒋾𒉿𒊍 [pal] 𒋾𒅀𒊍,*deywós,god,noun,3
[grc] δῖος [gmy] 𐀇𐀹𐀍 [gmy] 𐀇𐀄𐀍 [san] दिव्य [lat] dīus,*diwyós,heavenly,adj,5
[lit] -ỹs [lit] -ias [lit] -jas [grc] -ιος [lat] -ius [san] -य [ave] -𐬌𐬌𐬀 [ave] 𐬵𐬀𐬊𐬨𐬌𐬌𐬀 [ave] 𐬵𐬀𐬊𐬨𐬀,*-yós,Creates adjectives from noun stems.,suffix,9
[sqi] din [lav] diena [lit] diena [prg] dēinā [san] दिन [lat] nūndinus [lat] perendinus [xcl] երկինք [hit] šiwatt- [xlu] Tiwaz [xlu] Tiwad- [pal] Tiyaz [pal] Tiyad- [lyc] Τευδιαρμα [hit] 𒅆𒌦𒅀𒋻 [san] द्यु [san] दिव [san] द्यो [fas] لیو [san] द्युमान्,*dyew-,"to be bright, to shine, sky, heaven",root,54
[grc] θέσις [lat] fētiālis [lat] fētiāles [san] धिति [rus] благодать,*dʰéh₁tis,"act of putting, placement",noun,5
[sqi] det [lav] dôbs [lit] dubùs [ell] βυθός [sqi] dudum [sqi] djep [ell] τυφλός,*dʰewbʰ-,"hazy, unclear, dark, deep",root,12
[ell] τυχαίνω [grc] τιτύσκομαι [xcl] յ-ան-դուգն [san] दोहसे [grc] τεῦχος [ell] τύχη [san] दुग्ध [gle] dual [gla] duan,*dʰewgʰ-,"to hit (as opposed to missing), to produce, to produce something useful, to be strong, have force",root,12
[hye] դոն [san] धानक [san] धन्याक [san] धानेय [fas] دانه [txb] tāno,*dʰoHnéh₂,grain,noun,6
[grc] θωμός,*dʰóh₁mos,"that which is put, placed",noun,1
[lav] dubra [lit] Dubrà [nor] Dovre [swe] Dovra [xto] tpär [txb] tapre,*dʰubʰrós,deep,adj,6
[grc] γλύφω [lat] glūma [deu] Klobe [deu] Kloben [eng] kloof [non] klofi [eng] clove [isl] klof [gle] tlú [gle] clobhadh [gla] clobha,*glewbʰ-,to split,root,13
[lat] gelus [lat] gelū [lat] gelidus [lit] gelumà [chu] голоть [san] जल [san] जड,*gel-,"to be cold, to freeze",root,7
[lat] iūs [san] योस् [ave] 𐬫𐬀𐬊𐬱 [lat] iūstus [lat] iūrō,*h₂yew-,"straight, upright, right, right, justice, law",root,5
[sqi] bung [cel] *bagos [grc] φηγός [lat] fāgus,*bʰeh₂ǵos,"oak, beech",noun,4
[sqi] ju [hye] ձեզ [hye] ձեր [lav] jūs [lit] jūs [prg] ioūs [xto] yas [txb] yes,*yúHs,you (plural),pron,10
[grc] ἐρεύθω [gle] rú Mhuire [lat] russus [sga] rondaid [sga] fo·roind [sga] ruisse [lat] rōbur [grc] ἐρυσίπελας [lit] raũmins [lit] raumuõ [sqi] fruth [sqi] pruth,*h₁rewdʰ-,red,root,12
[san] पपात [ell] πέφτω [grc] πίτνημι [lat] pandō [san] पातयति [grc] πέτᾰλον [san] पत्र [san] पत्त्र [ave] 𐬞𐬀𐬙𐬀𐬭𐬆𐬙𐬀 [sqi] pjetë [xcl] ընթանամ [gle] éis [grc] πετάννῡμι [grc] πέτασος [grc] πέτηλος [grc] ποταμός [grc] πότμος [grc] πετηνός [grc] πτῶμα [grc] πτῆσις [grc] πτῶσις [grc] πτωτικός [grc] πτωτός [grc] πτίλον [grc] πατάνη [lat] pateō [lat] patera [lat] passus [lat] impetus [lat] praepes [lat] perpetuus [lat] propitius [lat] petulans [lat] petulcus,*peth₂-,"to spread out, to fly (through the sense ‘spread one’s wings’)",root,35
[hit] 𒁁𒋻 [hit] 𒁁𒁕𒈾𒀸 [hye] թեր [xcl] թիռ- [xcl] *ptēr- [xcl] փետուր [cym] adar [grc] ὑπο-πετρίδιος [grc] πτέρυξ,*péth₂r̥,"wing, feather",noun,12
[grc] τρέω [grc] ἄτρεστος [san] त्रसति [san] त्रस्त [ave] 𐬙𐬀𐬭𐬱𐬙𐬀 [sga] tarrach,*tres-,to tremble (with fear),root,6
[lit] vė́tra [lav] vȩ̄tra [prg] vetro [lit] vė́jas [lav] vējš [hye] օդ [hit] ḫūda- [hit] ḫuntarii̯a(i)- [hit] ḫuu̯ai- [hit] ḫui- [grc] ἄεθλον [grc] αὔελλα [grc] ἀέλλη [grc] ἄελλα [sqi] vetëtin [sqi] fjur [lit] vėsùs [lav] vȩ̄ss [grc] ἀτμός [grc] ἀϋτμή [grc] ἀίσθω [non] vængr [san] वीज् [fas] وز [lat] vannus [lat] vatillum [san] वा,*h₂weh₁-,to blow (of wind),root,28
[hit] 𒄷𒉿𒀭𒍝 [hit] 𒄷𒌋𒉿𒀭𒍝 [grc] ἀείς [grc] ἀέντα,*h₂wéh₁n̥ts,"blowing, that which blows; the wind, air",adj,4
[grc] ὄσσομαι [grc] ὄψομαι [grc] ὄπωπα [grc] ὄψις [grc] ὄμμα [grc] ὀπή [lat] oculus [lat] antīquus [grc] ἐνωπή [san] अनीक [ave] 𐬀𐬌𐬥𐬌𐬐𐬀 [mid] anîg [lav] nīca [san] न्यञ्च् [san] नीचा [xcl] երեսք [grc] πρόσωπον [san] प्रतीक [xto] pratsak [txb] pratsāko,*h₃ekʷ-,"to see, eye",root,20
[sqi] vdes [xcl] դի [sga] díth [lat] fūnus [sga] doíni,*dʰew-,"to die, pass away",root,5
[grc] θέω [san] धावति,*dʰew-,"to run, flow",root,2
[sqi] -zet [hye] քսան [ell] είκοσι [lat] vīgintī [xto] wiki [txb] ikäṃ [txb] ikante,*wídḱm̥ti,twenty,num,22
[xcl] հուր [xcl] *puh₂r- [xcl] հն-ոց [xcl] *ph₂wéns [lav] pūrs [lav] pūr̨i [lav] kvieši [lav] rudzi [lav] mieži [lit] pū̃ras [prg] panno [prg] pure [grc] πῦρ [grc] πῠρᾰ́ [hye] պուրի [grc] πύρνον [xto] por [txb] puwar,*péh₂wr̥,"fire, spelt (grain)",noun,20
[sqi] e enjte [sqi] En,*h₁n̥gʷnís,fire,noun,2
[lat] sapiō [xcl] համ,*sep-,"to taste, to try out",root,2
[ell] βίος [txb] śāw- [txb] śāy-,*gʷih₃wós,"alive, living",adj,4
[lav] dzīt [lav] dzīvot [lit] gyventi [prg] gi(j)wan [bre] beva [gla] bi [cym] byw [lat] vīvō [xto] śo- [txb] śai-,*gʷíh₃weti,"to live, to be alive",verb,10
[hye] մարդ [grc] βροτός,*mr̥tós,"dead, mortal",adj,2
[sqi] ith [sqi] ish- [sqi] sh- [lav] iz [lit] iš [prg] is [ell] εξ [ell] εξ- [ell] εκ [ell] εκ- [gmy] 𐀁𐀒𐀰𐀺𐀒,*h₁éǵʰs,out,adv,43
[sqi] thi [sqi] thaj [lav] sivę̄ns [lav] suvę̄ns [grc] ὗς [grc] σῦς [lat] sūs [txb] suwo,*suH-,"pig, hog, swine",noun,10
[sqi] ngjelmë [sqi] ngjelmët [xcl] աղ [xcl] աղտ [lav] sāls [lav] salds [prg] sal [lit] saldus [lit] sálti [xto] sāle [txb] salyiye,*séh₂ls,salt,noun,16
[ave] 𐬬𐬀𐬟- [fas] بافتن [san] उम्भति [san] उनब्द्धि [san] उभ्नाति [ave] 𐬎𐬟𐬌𐬌𐬀- [xto] wäp- [txb] wāp- [sqi] vej [ell] υφαίνω [grc] ὑφή [ave] 𐬎𐬠𐬛𐬀𐬉𐬥𐬀 [grc] ὕφος [eng] wave [mid] waben [non] váfa [ave] 𐬬𐬀𐬟𐬏𐬱,*webʰ-,"to weave, braid",root,20
[xcl] յղփանամ [grc] πίμπλημι [san] पिपर्ति [grc] πλήθω [grc] πληθύς [lat] plēbs [grc] πληθώρη [grc] πλῆτο [lat] pleō [xcl] յեղց [grc] ἔπλησα [san] अप्रास् [lav] pilēt [lav] pildīt [lit] pilóti [lit] piláuti [xcl] ողողեմ [sga] ler [grc] πλήρης [lat] plērus [xcl] լիր [san] प्राति [grc] πολύς [grc] πολλός [grc] πολλή [san] पॄ,*pleh₁-,to fill,root,28
[sqi] lyp [san] लुभ्यति [sqi] lubi [san] लोभयति [mid] pdrwbynd [san] लुब्ध [lit] liaupsė [san] लोभ [san] लुभ्,*lewbʰ-,"to desire, covet, want (someone or something), to admire, praise, to love, to be disturbed",root,9
[sqi] labë [lav] luobs [lit] lúobas [lav] luba [lit] lubà [prg] lubbo [grc] λῡ́πη [lit] lùpti,*lewbʰ-,to cut off,root,8
[lat] mēiō [lat] mingō [nld] miggelen [san] मीढ [san] मीळ्ह [lat] mictus [hye] մեզ [san] मेह [ave] 𐬨𐬀𐬉𐬰𐬀 [grc] μοιχός [sqi] përmjerr [fas] میزیدن [fas] میختن [txb] miśo,*h₃meyǵʰ-,to urinate,root,21
[lat] mulgeō [sga] melg [lav] malks [lit] malkas [gle] bleacht [cym] blith [eng] milch [deu] melk [isl] milkur [isl] mjólkur [xto] malke [xto] mālk- [txb] malkwer [txb] mālkant,*h₂melǵ-,"to milk, milk",root,20
[san] पर्यारिणी [ave] 𐬫𐬁𐬭𐬆 [ave] 𐬛𐬎𐬲𐬌𐬌𐬁𐬌𐬭𐬌𐬌𐬀 [fas] دچار [ave] 𐬵𐬎𐬌𐬌𐬁𐬌𐬭𐬌𐬌𐬀,*yóh₁r̥,"year, growing season or harvest season",noun,20
[xcl] արտաւսր [hye] արտասուք [hye] արցունք [gle] deoir [gla] deur [cym] deigryn [ell] δάκρυ [eng] dacryo- [lat] lacruma [lat] lacrima,*dáḱru,tear (in the eyes),noun,17
[sqi] rrime [xcl] որդն [lit] var̃mas [prg] wormyan [prg] urminan [prg] warmun [cym] gwraint [grc] ῥόμος [lat] vermis,*wr̥mis,"worm, larva",noun,13
[sqi] dhëmb,*ǵómbʰos,"tooth, row of teeth, peg",noun,1
[mid] dor [sga] dorus [san] द्वार [lat] forum [txb] twere [lat] forās [lat] forīs [sqi] derë [got] 𐌳𐌰𐌿𐍂𐌰 [ell] θύρα [hye] դուռ,*dʰwer-,door,root,13
[sqi] asht [san] अस्थि [lat] os [xto] āy [txb] āy [txb] āsta,*h₃ésth₁,bone,noun,6
[cym] rhech,*perd-,"to fart loudly, pass gas, break wind",root,1
[san] गय [ave] 𐬔𐬀𐬌𐬌𐬀 [chu] жить [ave] 𐬘𐬍𐬙𐬌 [san] जीर [ave] 𐬘𐬌𐬭𐬀 [sqi] nxit [sqi] zit [xcl] կեամ [grc] ὑγιής [lat] iūgis,*gʷeyh₃-,to live,root,11
[hit] 𒃻𒆪𒄢𒆷 [lav] kakls [lit] kãklas [grc] κύκλος [xto] kukäl [txb] kokale,*kʷékʷlos,"wheel, circle, set of wheels; cart, wagon, chariot",noun,9
[lit] skriẽbti [grc] σκᾰ́ρῑφος,*(s)kreybʰ-,"to scratch, to tear",root,2
[grc] ῑ̓δίω [san] स्वेदते [san] स्विद्यति [txb] syā- [goh] sweizzen [san] स्वेदयति [grc] ἶδος [lat] sūdor [sqi] djersë [hye] քրտինք [lav] sviêdri [grc] ῑ̔δρώς [bre] c'hwez [cym] chwys [lat] sūdō,*sweyd-,"sweat, to sweat",root,16
[hit] 𒉿𒀸𒊺𒄑𒍣 [xcl] զգենում [xcl] զգեցաւ [grc] ἕσσα [xto] wässāte [txb] wsānt [grc] ἑᾰνός [grc] εἱᾰνός [grc] ἑᾱνός [gmy] 𐀸𐁀𐀜𐀂 [san] वसन [san] वस्मन् [mid] wester [xcl] զգեստ [xcl] առա-գաստ [xcl] *wés-t-eh₂- [grc] ἐσθής [txb] wastsi [hit] waš- [san] वस् [xto] wäs- [txb] wäs-,*wes-,"to dress, clothe",root,27
[lat] vēscor [hit] wesiyattari [xto] wäsri [hit] wēsi- [hit] wastara- [ave] 𐬬𐬁𐬯𐬙𐬀𐬭 [ave] 𐬬𐬁𐬯𐬙𐬭𐬀,*wes-,"to graze, consume, eat",root,7
[fas] بها [fas] بازار,*wes-,to sell,root,2
[sqi] ndez [cym] deifio [san] दाहयति [lat] foveō [san] अधाक् [txb] tsekär [txb] tseksamai [san] क्षायति [lit] dẽgis [gle] daigh [gle] doigh [cym] goddaith [lav] daga [lit] dagà [prg] dagis [grc] τέφρα [lat] febris [lat] februum [san] दग्ध [xcl] հր-դեհ [lat] fōmes [lat] fōmentum [sqi] dhez [san] दह्,*dʰegʷʰ-,"to burn, warm, hot",root,25
[grc] -ῐ́σκος,*-iskos,"Characteristic of, typical of, pertaining to",suffix,1
[sqi] zot [lit] viēšpats [san] विश्पति [ave] 𐬬𐬍𐬯𐬞𐬀𐬌𐬙𐬌 [mid] wyspt' [fas] ویسبذ [xto] wikpots,*wiḱpótis,"clan chief, master of a household, lord",noun,7
[hit] 𒄩𒀭𒍝 [xcl] ընդ [grc] ἀντί [lat] ante,*h₂énti,"opposite, near, in front, before",adv,4
[lat] serum [grc] ὀρός [grc] ὁρμή [san] सरित् [san] सिरा [san] सृ,*ser-,to flow,root,6
[lav] sẽrt [lat] serō [grc] εἴρω [grc] ἕρμα [lat] sermō [lat] sors [hye] որմ [hye] առորմի [grc] ὅρμος [lat] servus [mid] geserwe [non] sørvi [sqi] gjurmë [hye] հեռել [hye] հուռ [hye] հիրել [san] सरत् [san] सिरा [lat] seriēs [xto] sar-,*ser-,"to bind, tie together, thread",root,23
[grc] αἱρέω [lav] sirt [hit] 𒊭𒀀𒊒,*ser-,"to take, to grasp, seize, to steal, plunder; booty",root,4
[grc] ἔχυτο [grc] χέω [san] जुहोति [grc] κέχῠκᾰ [san] जुहाव [lat] fūtis [lat] fūtilis [lat] effūtiō [grc] χεῦμᾰ [grc] χύμα [san] होम [grc] χῡμός [grc] χῡλός [san] हव्य [grc] χύτλον [ell] χύτρα [sqi] dyllë [sqi] gumoj [xcl] ձեւ [xcl] *ǵʰew-os [xcl] *ǵʰew-o- [xcl] ձոյլ [xcl] *ǵʰew-lo- [xcl] ձոր [xcl] *ǵʰoworo- [xcl] *ǵʰowero- [xcl] զուտ [xcl] *ǵʰu-d-o- [xcl] ձագար,*ǵʰew-,to pour,root,30
[grc] τελαμών [grc] τλήμων [grc] τέλος [grc] τόλμα [san] तुलयति [san] तोलयति [fas] ترازو [grc] τάλαντον [lav] til̃ts [lit] ti̇̀ltas [san] तीर्थ [cym] tlawd [gle] tláith [gla] tlàth [grc] ταλαίπωρος [grc] ταλασίφρων [grc] Ἄτλας [lat] opitulor,*telh₂-,"to bear, to undergo, to endure",root,18
[prg] talus [lit] pãtalas [rus] потоло́к [gle] talamh [gla] talamh [lat] Talamone [fra] Talmont [lat] tellūs [xcl] թաղ [xcl] թաղեմ [lit] ti̇̀lės [san] तल,*telh₂-,"ground, bottom. Possibly a derivative of *telh₂- ""to bear"" in the sense of that which bears, carries, supports.",root,12
