input,output,meaning,num_cognates,cognate_set_id
[cat] pell [fra] peau [ita] pelle [lad] pel [por] pele [sar] pedde [sar] pedde [wal] pê [spa] piel [fri] piel [ron] piele [nea] pelle [old] pel [ang] pel [fra] pÿô [old] piel [old] peou [old] pell [dal] pi̯al [por] pele [mil] pèl,*pel-,,21,295
[bul] glad″k [bel] gladkì [ces] hladký [nld] glad [fle] glad [fri] glêd [deu] glatt [sor] gładki [sor] hładki [pol] gładki [rus] gladkij [hbs] gladak [slo] hladký [slo] gladek [ukr] gladkij [chu] gladŭkŭ [lav] gluds [lux] glat [pol] gloťĕ [kas] gładczi [lat] gluds [old] gładki [old] hladký [rus] ɣlatkώj [slo] gladek [slo] gladek [deu] glatt [goh] glat [mid] glat,*gleh₂dʰ-,,29,301
[nld] slang [fle] slang [fri] slang(e) [deu] Schlange [lux] Schlaang [deu] Schlange [mid] slange [mid] slanghe,*slenkʷ-,,8,302
"[bul] snâg [bel] sneg [cat] neu [ces] sníh [dan] sne [nld] sneeuw [eng] snow [fle] sneeuw [fra] neige [fri] snie [deu] Schnee [isl] snjór [gae] sneachta [ita] neve [lad] neif [lit] sniẽgas [sor] sněg [sor] sněh [mac] sneg [pol] śnieg [por] neve [nob] snø [rus] sneg [sar] níe [hbs] snijeg [slo] sneh [slo] sneg [spa] nieve [swe] snö [ukr] snìg [wal] nîvaye [chu] sněgŭ [prg] snaygis [lav] sniegs [lux] Schnéi [gae] sneachd [lat] nix [fri] nêf [sga] snechtae [elf] sniųo [old] snior [pol] sneg [kas] sniég [txb] śiñce* [lat] snīgs [nea] neve [sar] níe [old] noif [ang] neif [fra] nai [old] nieve [gae] sniaghtey [old] śnieg, śnig [old] snieh [rus] s′n′iɣ [mac] sn′ä̀k [mac] sn′ä̀k [slo] sneg [slo] ſnég [deu] Schnee [old] neou [old] neu [dal] nai̯ [goh] snio [mid] snê [ang] snāw [old] snêo [mid] snee [old] snjár [got] snaiws [meg] ne̯áu̯ă [nor] snø [por] neve [mil] néf",*snei̯gʷʰ-,,74,303
"[bul] stoâ [bel] staâc′ [ces] stát [dan] stå [nld] staan [eng] stand [far] standa [fle] staen [fri] stean [deu] stehen [ell] stékomai [isl] standa [gae] bí ina sheasamh [lit] stovė́ti [sor] stojaś [sor] stać [mac] stoi [fas] īstādan [pol] stać [nob] stå [rus] stoât' [sar] istare [hbs] stajati [slo] stáť [slo] stati [swe] stå [ukr] stoâti [lat] stāre [lux] stoen [lav] stāvēt [prg] stānintei [grc] hístēmi [gae] seasamh [chu] stojati [san] sthā- [ave] hištaiti [xlu] tā(i)- [sga] do·airissedar [old] hišta [umb] stahu [kur] rawestiya ye [gae] shassoo [old] sab / to [old] cf. sebedlauc [elf] standa [old] standa [mai] ṭhāṛ rahanā [mid] bezaff / lesell / seuell en e sav [gre] hístēmi [kho] ṣṭäte [pol] stot [kas] stac [mid] īstēd [par] īštēd [osc] staít [gre] stékō [gre] sték(n)ō [gre] stékō [gre] stékō [lat] stuovēt [old] ester [ang] ester [pal] uthí hóonsa [bre] sevel, sav- (stand up), beżã en e sav (be standing) [bre] sewel, saw-, boud ba i saw [cym] sefyll [old] stać [mid] sefyll [old] státi [old] stojati [rus] stojátɪ [pal] tiṭṭhati [slo] stati [slo] ſtati [deu] stah [gaw] wuṭ bik [maz] herestāe [bak] vāstādak [raj] ʋeštạdạ [bal] oštata [tat] baštā [kur] awasıt [sog] ōštit [del] vejsejen [lar] avayse [kur] wısāga [meg] stári [goh] stān [old] stān [mid] stân [ang] standan [old] standan [mid] staen [old] standa [got] standan [ass] thiẏ hûwā [mid] sevel [lat] seval, saval [nor] stå [kur] a-ws-ē",*steh₂-,,100,309
[dan] sten [nld] steen [eng] stone [far] steinur [fle] steen [fri] stien [deu] Stein [isl] steinn [nob] stein [swe] sten [lux] Steen [elf] stie [old] sten [deu] Stei [goh] stein [old] stēn [mid] stein [ang] stān [old] stên [mid] steen [old] steinn [got] stains [nor] stein,*sti̯eH-,,23,311
[cat] recte [nld] recht [fle] recht [fra] droit [fri] rjocht [ita] dritto [lad] endret [por] direito [nob] rett [sar] derettu [sar] derettu [swe] rak [wal] dreût [san] r̥jú- [lux] riicht [lat] rectus [gae] díreach [gae] dìreach [fri] dret [spa] recto [sga] díriuch [oss] rast [oss] rast [ave] ərəzu [old] rätter [elf] rett [pal] uj(j)u [kho] rraṣṭä [mid] rāst [par] rāšt [ron] drept [nea] reritto [old] droit [ang] dreit [fra] drai [old] recto [gae] jeeragh [yag] razk [meg] diréptu [old] drech [old] dret [maz] rāst [bak] rāst [del] rɒs [bal] rāst [tat] rāst [kur] rast [kur] rās [kur] ṛās [haw] řāst [khw] raci [dal] drat [goh] reht [mid] reht [ang] riht [mid] recht [old] reht [got] raihts [nor] rett [por] direito [pas] iiǰə [kur] rās [mil] drìs,*h₃reg̑-,,63,312
"[bul] sl″nce [bel] sonca [cat] sol [ces] slunce [dan] sol [nld] zon [eng] sun [far] sól [fle] zon [fra] soleil [fri] sinne [deu] Sonne [ell] ī́lios [isl] sól [ita] sole [lad] soredl [lit] sáulė [sor] słyńco [sor] słónčko [mac] sonce [pol] słońce [por] sol [nob] sol [rus] solnce [sar] sole [sar] sole [hbs] sunce [slo] slnko [slo] sonce [spa] sol [swe] sol [ukr] sonce [wal] solo [prg] saule [lat] sōl [lav] saule [chu] slŭnĭce [san] sū́ryaḥ [grc] hḗlios [lux] Sonn [fas] xuršīd [fri] soreli [oss] xur [oss] xor [ave] huuar [wak] yir [old] houl [gau] sonno- [elf] suol [old] sol [pal] suriya [mid] heaul, eaul, heol [gre] hḗlios [kas] słuńce [mid] xwar [gre] ī́lios [yag] xʉ̄r [gre] ī́lio [gre] (g)ī́lös [gre] élios [lat] saule [nea] sole [old] soleil [ang] solail [old] sol [ron] soare [pal] súuri [sin] ira [bre] heol [bre] hiâol [cym] haul [fra] feulâô [old] słońce, słuńce [mid] heul [old] slunce [rus] sónce [mac] slъ̀nci [mac] slъ̀nci [slo] sonce [slo] ſonze [deu] Sunne [old] souleou [meg] so̯ári [old] sol [sog] xwer [khw] ǝxr [dal] sau̯l [mid] houl [lat] houl [gaw] suri [kur] xor [kur] xwar [haw] war [pas] nwar [gaw] sīr [goh] sunna [sar] qher [old] sunne [mid] sunne [ang] sunne [old] sunna [mid] sonne [old] sól [got] sunno [nor] sol [por] sol [vâs] üsük [pas] sər [kam] s′u [kât] s′u [kât] s′u [kal] sö [saṇ] s′o [kur] xwar [mil] sü",*seh₂-u̯l̥-,,115,314
"[dan] tyk [nld] dik [eng] thick [far] tjúkkur [fle] dik [deu] dick [isl] þykkur [nob] tykk [swe] tjock [lux] déck [gae] tiugh [gae] tiubh [sga] tiug [old] thiokker [mid] teu, téo [gae] chiu [bre] téw [bre] tiw [mid] tew [old] teu [deu] dick [goh] thicki [mid] dicke [ang] þicce [old] thikki [mid] dicke [old] þykkr [mid] tew [lat] têu [nor] tjukk",*tegu-,,30,320
[nld] denken [eng] think [fle] denken [fri] tinke [deu] denken [lux] denken [goh] thenken [mid] denken [ang] þenċan [old] thenkian [mid] denken [old] thentsa [got] þagkjan,*ten⁽g̑⁾-,,13,322
"[fle] werpen [deu] werfen [chu] vrěšti [pol] virgnǫt, virgnĕt [slo] vreči [old] vrci [rus] veréčɪ [slo] vreči [slo] vrézhi [goh] uuerfan [old] werpa [mid] werfen [ang] weorpan [old] uuerpan [mid] werpen [old] verpa [got] wairpan",*u̯ergʷ-,,17,325
[ben] bām̐dhā [dan] binde [nld] binden [far] binda [fle] binden [deu] binden [hin] bāndhanā [isl] binda [mar] bāndhaṇe [fas] bastan [nob] binde [sin] ban̆dinavā [swe] binda [wak] vand [nep] bām̐dhnu [urd] bāndhnā [san] bandh- [oss] bættyn [oss] bættun [ave] baṇdaiieiti [bho] bāndhnā [old] binda [elf] binda [pal] bandhati [mai] bānhab [mag] bāṅdhanā [kho] bañäte [mid] bennēd [yag] vant- [fri] bine [deu] binge [sog] βent [ass] bāndhā [pun] baⁿnʰṇā [khw] βānceda [kum] tabna [par] bandēd [goh] bindan [sar] veest [old] binda [mid] binden [ang] bindan [old] bindan [mid] binden [old] binda [got] bindan [kho] botik [nor] binde,*bʰendʰ-,,48,326
"[hyw] lezow [hye] lezow [ben] jihbā [bul] ezik [bel] âzyk [cat] llengua [ces] jazyk [dan] tunge [nld] tong [eng] tongue [far] tunga [fle] tong [fra] langue [fri] tonge [deu] Zunge [hin] jībha [isl] tunga [gae] teanga [ita] lingua [kas] zew [lad] lenga [lit] liežùvis [sor] jězyk [sor] jazyk [mac] ǰazik [mar] jībha [nep] jibro [pol] język [por] lingua [nob] tunge [rus] âzyk [sar] limba [sar] limma [hbs] jezik [sin] diva [slo] jazyk [slo] jezik [spa] lengua [swe] tunga [ukr] âzik [wal] linwe [lat] lingua [lux] Zong [gae] teanga [xto] käntu [txb] kantwo [chu] językŭ [san] jihvā́ [mai] jiu [kur] zɨman [prg] insuwis [fri] lenghe [sga] tengae [ave] hizū [xcl] lezow [old] hizan [osc] fangvam [wak] zik [oss] ævzag [oss] ævzag [gae] çhengey [gau] tengua [elf] tungga [old] tunga [pal] jivhā [kho] biśāʾ [mid] teaut, teut [pol] jǫzĕk [kas] jãzëk [par] izβān [mag] jībh [bho] jībh [pal] ǰip [nea] lengua [old] langue [ang] lange [fra] lëga [old] lengua [ron] limbă [yag] zivṓk [bre] teod [bre] tèd [cym] tafod [old] język [mid] tafod [old] jazyk [old] ęzykŭ [kum] ẓwān [rus] jazώk [mac] inʒìk [mac] inʒìk [slo] jezik [slo] jesik [deu] Zunge [bac] ezbago [tat] zobon [sog] zβāk [maz] zebun [bal] zwān [kur] zʷān [old] lengua [meg] limbă [old] llengua [gaw] zip [ass] jibhā [pun] jībʰ [gaw] ǰib [khw] zβāk [pas] jaba [pas] ǰiba [raj] zeʋun [kur] zwān [haw] zwān [dal] laṅga [goh] zunga [sar] ziv [old] tunge [mid] zunge [ang] tunge [old] tunga [mid] tonghe [old] tunga [got] tuggo [mid] tavas [lat] tavaz [nor] tunge [por] lingua [vâs] luz′ug [kam] d′ić [kât] d′ić [kât] d′iz [kal] ǰip [saṇ] ž′uː [kur] zwān [mil] léngua",*dn̥g̑ʰu̯éh₂-,,135,327
"[hye] atam [ben] dām̐t [cat] dent [dan] tand [nld] tand [eng] tooth [far] tonn [fle] tand [fra] dent [deu] Zahn [ell] dónti [hin] dām̐ta [isl] tönn [ita] dente [kas] dand [lad] dent [lit] dantìs [mar] dāta [nep] dām̐ta [fas] dandān [por] dente [nob] tann [sar] dente [sar] (d)ente [sin] data [spa] diente [swe] tand [wak] dundʉk [wal] dint [lat] dens [prg] dantis [grc] odoús [san] dán [mai] daṅt [urd] dānt [lux] Zant [fri] tosk [kur] dɨdan [fri] dint [sga] dét [oss] dændag [oss] dændag [xcl] atamn [ave] daṇtan [old] dant [elf] tann [old] tan [pal] danta [mid] dant [gre] o-da-twe-we-ta [kho] daṃdai [gre] odoús [mid] dandān [par] dandān [osc] dunte(d) [gre] dóntin [gre] don(t) [gre] odónti(n) [gre] dónti [mag] dāṅt [bho] dām̐t [pal] dáand [ron] dinte [dal] di̯ant [nea] rente [old] dent [ang] dent [fra] dë [old] diente [yag] díndak [bre] dant [bre] dant [cym] daint, dant [mid] danned [kum] dnān [deu] Zang [tat] dandon [sog] δantā [maz] dandun [bak] dendun [del] dændu [lar] dezu [bal] dantan [kur] diyan [old] dent [meg] dínti [old] dent [kho] don [gaw] dant [ass] dām̐t [pun] daⁿd [gaw] dan [pas] daandə [raj] dandun [kur] dınān [haw] diḏān [goh] zan [sar] dhandun [old] tōth [mid] zan [ang] tōþ [old] tand [mid] tant [old] tǫnn [got] tunþus [mid] dans [lat] danz [nor] tann [por] dente [vâs] lat′am [kam] d′ut [kât] d′ut [kât] d′ut [kal] dũt [saṇ] d′õt [kur] diyān [mil] dén",*Hd-ónt-,,117,328
[fle] draaijen [lux] dréinen [nld] draaien [deu] drehen [deu] trääie,*?*treh₁-,,5,330
[fle] braken [deu] erbräche,*bʰre⁽g̑⁾-,,2,331
[aln] ngrohtë [dan] varm [nld] warm [fle] warm [fri] waarm [deu] warm [fas] garm [nob] varm [swe] varm [grc] thermós [kur] germ [lux] waarm [ave] garəma [oss] qarm [oss] ǧar [sqi] nxehtë [xcl] ǰerm [old] varmber [elf] warm [kho] grāmä [gre] thermós* [mid] garm [par] garm [gre] thermós [kum] garm [yag] ɣarm [deu] warm [sog] γarm [lar] garm [alb] ngrohitë [khw] γarmand [old] garma [nor] varm [old] uuarm [goh] uuarm [mid] warm [mid] waerm [old] warm [maz] garm [bak] garm [del] garm [kur] garm [kur] garm,*gʷʰer-,,43,333
[aln] ujë [bul] voda [bel] vada [ces] voda [dan] vand [nld] water [eng] water [far] vatn [fle] water [fri] wetter [deu] Wasser [isl] vatn [gae] uisce [lit] vanduõ [sor] woda [sor] woda [mac] voda [pol] woda [nob] vann [rus] voda [hbs] voda [slo] voda [slo] voda [swe] vatten [ukr] voda [gae] uisge [lav] ūdens [lux] Waasser [hit] u̯ātar / u̯itēn- [chu] voda [prg] unds [sga] uisce [xto] wär [txb] war [sqi] ujë [gae] ushtey [elf] wattn [old] vatn [pal] udaka [gre] u-do [gre] hýdōr [umb] utur [pol] vådă [kas] wòda [grc] hýdōr [lat] iudiņs [pal] wíi [old] woda [old] voda [old] voda [rus] vodá [mac] vòda [mac] òda [slo] voda [slo] voda [deu] Wasser [alb] ujët [pas] worgə [goh] wazzar [old] weter [mid] wazzer [ang] wæter [old] uuatar [mid] water [old] vatn [got] wato [nor] vatn,*u̯ed-,,67,335
[dan] hvid [nld] wit [eng] white [far] hvítur [fle] wit [fri] wyt [deu] weiß [isl] hvítur [nep] seto [nob] hvit [swe] vit [kur] spi [san] śvetá- [lux] wäiss [ave] spaēta [elf] wait [old] hviter [kho] śśītä [par] ispēd [deu] wyys [tat] isbi [sog] spētē [maz] espe [bal] spēt [raj] esbid [kum] spēr [kho] išperu [khw] spēdik [pas] speen [pun] ciṭṭā [goh] uuīz [sar] speyd [old] hwīt [mid] wîz [ang] hwīt [old] huuît [mid] wit [old] hvítr [got] ƕeits [nor] kvit,*k̑u̯ei̯t-,,40,338
"[bul] vât″r [bel] vecer [cat] vent [ces] vítr [dan] vind [nld] wind [eng] wind [far] vindur [fle] wind [fra] vent [fri] wyn [deu] Wind [isl] vindur [ita] vento [lit] vė́jas [sor] wětš [sor] wětřik [mac] vetar [pol] wiatr [por] vento [nob] vind [rus] veter [sar] bentu [sar] (b)entu [hbs] vjetar [slo] vietor [slo] veter [spa] viento [swe] vind [ukr] vìter [wal] vint [lat] uentus [chu] větrŭ [xto] want [txb] yente [san] vā́taḥ [hit] ḫuu̯ant- [prg] wetro [lav] vējš [lad] vent [fri] vint [ave] vāta [old] vinder [pal] vāta [mar] vārā [mid] avel, auel [kho] bātä [fas] bād [pol] v́otĕr [kas] wiater [mid] wād [kur] ba [par] wād [lat] viejs [ron] vânt [dal] vi̯ant [nea] viento [old] vent [ang] vent [fra] vë [old] viento [bre] awel [bre] awel [cym] gwynt [old] wiatr, wietr [mid] gwynt [old] vietr [rus] v′iter [mac] v′ä̀tir [mac] w′ä̀t′ḁr [yag] wōt(a) [slo] veter [slo] veiter [old] avelou [bac] oado [tat] yāvā [sog] wāt [bak] bād [del] bɒ [lar] bāz [bal] gwāt [kur] bā [old] věterŭ [old] vent [meg] víntu [khw] wād [old] vent [ass] bôtāh [raj] ʋạd [kur] wā [haw] wā [gaw] bāla [goh] uuint [old] wind [mid] wint [ang] wind [old] uuind [mid] wint [got] winds [mid] gwyns [lat] guinz, gwenz [nor] vind [por] vento [kur] bā [mil] vént",*h₂u̯eh₁-,,105,342
[nld] vleugel [fle] vleugel [deu] Flügel [lux] Flillek [deu] Flügel [mid] vlügel [mid] vlueghel,*?*pleu̯k-,,7,343
[dan] orm [nld] worm [eng] worm [fle] worm [fra] ver [fri] wjirm [deu] Wurm [ita] verme [lad] verm [sar] berme [sar] erme [wal] vièr [lux] Wuerm [lat] uermis [fri] vier [por] verme [isl] ormur [ron] vierme [nea] verme [old] verm [ang] verm [fra] véh [deu] Wurm [old] verme [dal] vi̯arm [goh] uurm [mid] wurm [ang] wyrm [old] uuurm [mid] worm [old] ormr [meg] ǵérmu [mil] vèrman,*u̯r̥mi-,,33,348
[dan] år [nld] jaar [eng] year [far] ár [fle] jaer [fri] jier [deu] Jahr [isl] ár [nob] år [swe] år [lux] Joer [ave] yār [elf] år [old] ar [deu] Jahr [goh] iār [old] iēr [mid] jâr [ang] ġēar [old] jâr [mid] jaer [old] ár [got] jer [nor] år,*i̯eh₁-r/n-,,24,350
[sqi] bark [alb] bark,*bʰer-,,2,359
[aln] madh [hyw] mec [hye] mec [ell] megálos [sar] mannu [sar] mannu [grc] mégas [lat] magnus [san] máhi [xcl] mec [gau] magio- [sqi] madh [old] mykil [pal] mahant- [gre] me-ki-ta [ave] maz [kho] maysirkä [gre] mégas [kur] mezɨn [gre] meálos [gre] méga [gre] mé(g)as [gre] mé(g)a [sog] mazēx [alb] i madh [ang] miċel [got] mikils,*meg̑-,,27,360
[sqi] zog [alb] zogu,*g̑ʰu̯eh₂gʰV-,,2,361
[aln] gjak [sqi] gjak [alb] gjak,*sokʷo-,,3,364
[aln] digjem [kas] dazon [lit] dègti [lav] degt [xto] tsäknäṣtär [txb] tsakṣtär [san] dah- [sqi] digjem [pal] dahati [lat] degt [pal] daáǰa [sin] dævenavā [alb] djeg [gaw] däǰūg,*dʰegʷʰ-,,14,368
[aln] ftoft [sqi] ftohtë,*teh₂-,,2,371
"[ben] din [bul] den [bel] dzen′ [cat] dia [ces] den [fra] jour [hin] dina [ita] giorno [kas] doh [lad] di [lit] dienà [sor] źeń [sor] dźeń [mac] den [mar] divasa [nep] dina [pol] dzień [por] dia [rus] den' [sar] die [sar] díe [hbs] dan [sin] davasa / dinaya [slo] deň [slo] dan [spa] día [ukr] den′ [wal] djoû [lat] diēs [urd] din [mai] din [chu] dĭnĭ [lav] diena [prg] deinan [hit] šīu̯att- [fri] dì [osc] zicolom [xcl] tiw [gau] sindiu [mag] din [pal] diva [mid] dez, deyz, deiz [old] ded, did [pol] dan [kas] dzéń [osc] iúkleí [lat] dīna [nea] juorno [old] jor [ang] jur [fra] zhôh [old] día [ron] zi [bre] deż, dewezh [bre] déiż, déwezh [cym] d(i)wrnod [bho] din [pal] deés [old] dzień [mid] dyd [old] did [old] den [old] denĭ [rus] dẹn′ [mac] d′èn′ [mac] d′èn′ [slo] dan [slo] dán [ass] din [pun] din [old] journ, jorn [meg] zuu̯ă [old] dia [old] dia [gaw] des [gaw] dōs [dal] dai̯ [mid] deth, dyth [por] dia [mil] dì",*dei̯-,,80,375
"[aln] pî [bul] piâ [bel] pìc′ [cat] beure [ces] pít [fra] boire [ell] pínō [hin] pīnā [gae] ól [ita] bere [lad] beive [sor] piś [sor] pić [mac] pie [mar] piṇē [nep] piunu [pol] pić [por] beber [rus] pit' [sar] bíere [sar] buffare [hbs] piti [slo] piť [slo] piti [spa] beber [ukr] piti [wak] pit [wal] beûre [mai] pīnā [san] pā- [chu] piti [prg] poūton [lat] bibere [urd] pīnā [sin] bonavā [fri] bevi [sga] ibid [xcl] əmpem [gau] ibetis [sqi] pi [mag] pinā [gae] iu [old] iben [bho] pīnā [pal] pivati/pibati [grc] pínō [mid] euaff, effaff [gre] pínō [kas] pic [gre] pínnō [gre] pínnō [gre] pínō [gre] piíno [old] boivre [ang] beivre [fra] baihé [old] beber [ron] bea [bre] ived, iv- [bre] evã, ev- [cym] yfad [gae] òl [nea] vevere [pal] píla [pol] pait [old] pić [mid] yfed [old] píti [old] piti [rus] pɪ́tɪ [mac] pìjam [mac] pìja [slo] piti [slo] pyti [old] beoure [alb] pi [old] beure [kho] piik [gaw] pik [pun] pīṇā [gaw] pūg [meg] be̯ári [dal] bar [mid] eva [lat] eva [por] beber [vâs] vuya- [pas] pataau [ass] pi khûwā [kam] p′ia- [kât] pi·′e- [kât] pai′e- [kal] piia- [saṇ] p′iː- [mil] béf",*peh₃(i̯)-,,95,380
"[aln] dhe [lit] žẽmė [sor] zemja [sor] zemja [mac] zemǰa [pol] ziemia [rus] zemlâ [hbs] zemlja [slo] zem [slo] zemlja [ukr] zemlâ [chu] zemlja, zem(ĭ)ja [prg] semmē [lav] zeme [bul] zemâ [ces] země [ave] zam [hit] tēkan / takn- [xto] tkaṃ [txb] keṃ [xlu] takami- [bel] zâmlâ [pol] ziḿă [kas] zemia [par] zamīg [lat] zeme [old] ziemia [old] země [old] zemlę [rus] zẹml′á [mac] z′èmja [mac] z′èmja [yag] zōy [slo] zemlja [slo] ṡemla [sqi] dhe [bac] zamigo [sog] zāy [alb] dhe [kur] zamīn [kur] zaü","*dʰég̑ʰ-om-, *dʰg̑ʰ-ém-, *dʰg̑ʰ-m-",,41,384
[aln] bie [sqi] bie [alb] bie,*bʰerH-,,3,388
[aln] druaj,*dʰreh₂s-,,1,392
[aln] zjarr [sqi] zjarr [alb] zjarr,*gʷʰer-,,3,396
[aln] mërdhif [bul] zamr″zvam [bel] zamârzac′ [ces] mrznout [sor] marznuś [sor] mjerznyć [mac] mrzne [pol] zamarzać [rus] zamerzat' [hbs] smrznuti [slo] mrznúť [slo] zamrzniti [ukr] zamerzati [chu] (po-/sŭ-)mrŭznǫti [pol] marznĕ [kas] miarznąc [old] zmarznąć [old] zamrznúti [old] zamerznuti [rus] zamerzátɪ [mac] mr̥̀znam [mac] mr̥̀zn′a [slo] zamrzniti [slo] ṡmarṡniti,*merg̑⁽ʰ⁾-,,24,403
[hyw] tal [hye] tal [ben] deoẏā [bul] dam [bel] dac′ [cat] donar [ces] dát [fra] donner [ell] dínō [hin] denā [ita] dare [kas] dyon [lad] dé [lit] dúoti [sor] daś [sor] dać [mac] dade [mar] deṇe [nep] dinu [fas] dādan [pol] dać [por] dar [rus] dat' [sar] dare [sar] giàre [hbs] dati [sin] denavā [slo] dať [slo] dati [spa] dar [ukr] dati [wal] diner [san] dā- [urd] denā [lat] dare [chu] dati [prg] dāt [lav] dot [grc] dídōmi [mai] denā [kur] dɨdet [fri] dâ [ave] daδāiti [oss] dættyn [oss] dættun [xcl] tam [osc] deded [umb] dede [gau] dede [bho] denā [pal] dadāti [mag] denā [gre] di-do-si [gre] dídōmi [pol] dot [kas] dac [mid] dayēd [par] dahēd [gre] dṓnnō [gre] dí(g)ō [gre] diṓ [gre] dínō [lat] dūt [old] doner [ang] doner [ron] a da [old] dar [pal] díi [nea] rà [old] dać [old] dáti [old] dati [rus] dátɪ [mac] dàvam [mac] dàvam [slo] dati [slo] dati [bac] lauado [bak] dādak [old] dounar [old] donar [meg] dari [kho] dik [alb] dhe [kum] dō'a [lar] ade [maz] dene [kur] adāt [bal] dant [tat] āndiye [haw] maḏo [kur] dē [raj] ạde [gaw] dǟg [old] dadātu [del] miye [dal] duọr [sar] dhud [ass] diẏā [gaw] ɬik [pas] detaau [pun] deṇā [por] dar [vâs] -pili- [kam] př′e- [kât] př′e- [kal] pra- [saṇ] přoːta [mil] dàa,*deh₃-,,109,405
[aln] bar [sqi] bar [alb] barë,*?*bʰar(s)-,,3,407
[aln] dorë [hyw] jeṙkʿ [hye] jeṙkʿ [ell] chéri [grc] cheír [hit] keššar / kiššer- / kišr- [xto] tsar [txb] ṣar [xcl] jeṙn [xlu] īššara/i- [sqi] dorë [ave] zasta [san] hástaḥ [old] dasta [wak] ðast [fas] dast [kur] dest [pal] hattha [gre] ke-* [kho] dastä [gre] cheír [mid] dast [par] dast [gre] šérin [gre] chéri [gre] šéri(n) [gre] cher [ben] hāt [mai] hāth [mag] hāth [bho] hāth [hin] hātha [urd] hāth [kas] athə [pal] haát [yag] dast [nep] hāt [mar] hāta [kum] dist [sin] ata [bac] listo [tat] dast [sog] δasti [maz] dast [bak] das [del] dæs [lar] das [bal] das [kur] das [ass] hāt [pun] hattʰ [alb] dorë [khw] δast [kur] das [haw] das [raj] dạs [pas] laas [gaw] hast [pas] wos [kho] host [sar] dheest [vâs] l′ust [kam] d′üšt [kât] d′ušt [kal] dost [saṇ] d′ost [kur] das,*g̑ʰes-,,67,411
[aln] vras [sqi] vras [alb] vrasë,*reu̯H-,,3,425
[aln] di [sqi] di [alb] di,*dʰei̯H-,,3,426
[sqi] jetoj,*i̯et-,,1,432
[aln] mish [hyw] mis [hye] mis [ben] mānsa [bul] meso [bel] mâsa [ces] maso [hin] māṁsa [kas] maaz [lit] mėsà [sor] měso [sor] mjaso [mac] meso [mar] māṁsa [nep] māsu [pol] mięso [rus] mâso [hbs] meso [sin] mas [slo] mäso [slo] meso [ukr] mâso [txb] mīsa [mai] māṅs [prg] mensā [san] māṃsám [chu] męso [xcl] mis [sqi] mish [mag] maṅs [pal] maŋsa (maṁsaṁ) [pol] mąsi [kas] miãso [pal] mhaás [bho] māṁs [old] mięso [old] maso [old] męso [rus] mn′áso [mac] m′ä̀su [mac] m′èsu [slo] meso [slo] meſſú [ass] māngxô [pun] mās [alb] mishë [gaw] mās [got] mimz,*mē(m)s-,,48,437
[aln] ri [sqi] ri [alb] i ri,*h₃er-,,3,444
[grc] hélkō [gre] hélkō [txb] slaṅktär,*selk-,,3,451
[aln] det [sqi] det [alb] deti,*dʰeu̯b-,,3,466
[aln] prefët [bul] ost″r [bel] vostry [ces] ostrý [lit] aštrùs [sor] wótšy [sor] wótry [mac] ostar [pol] ostry [rus] ostryj [hbs] oštar [slo] ostrý [slo] oster [ukr] gostrij [txb] akwatse [chu] ostrŭ [lav] ass [lat] acūtus [sqi] mprehtë [kas] òstri [osc] akrid [lat] oss [ron] ascuțit [old] agudo [old] ostry [fri] uçât [old] ostrý [rus] óstrωj [mac] òstra [mac] òstra [slo] oster [slo] oſter [sar] accuzzu,*h₂ek̑-,,33,468
[aln] borë [sqi] borë [alb] zbora,*bʰerH-,,3,480
[aln] shkop [sqi] shkop [alb] skop,*?*skeh₂p-,,3,487
[aln] gur [wak] ɣ̌ar [sqi] gur [alb] gurë [sar] zher [sin] gala [vâs] ′ir,*gʷerH-,,7,488
[aln] lidh [ita] legare [lad] lié adum [sar] ligare [lat] ligāre [fri] leâ [cat] lligar [sqi] lidh [ron] a lega [nea] lià [old] liier [ang] lier [alb] lidhnja [old] lligar [meg] ligári [dal] ligúr [mil] ligàa,*lei̯g̑-,,17,500
[aln] dhâmb [bul] z″b [bel] zub [ces] zub [sor] zub [sor] zub [mac] zab [pol] ząb [rus] zub [hbs] zub [slo] zub [slo] zob [ukr] zub [chu] zǫbŭ [lav] zobs [xto] kam [txb] keme [sqi] dhëmb [pol] zǫb [kas] ząb [lat] zūbs [old] ząb [old] zub [old] zubŭ [mac] zъ̀mp [mac] zъ̀mp [slo] zob [slo] ẛob [alb] dhamb,*g̑ombʰ-o-,,29,502
"[aln] drû [bul] d″rvo [bel] dreva [dan] træ [eng] tree [far] træ [isl] tré [mac] drvo [pol] drzewo [nob] tre [rus] derevo [hbs] drvo [slo] drevo [swe] träd [ukr] derevo [hit] tāru [grc] déndron [ell] déntro [chu] drěvo [elf] trai [old] trä [gre] déndron [kur] dar [kas] drzewò [par] dālug [gre] dentrón [gre] dentró [gre] dentró(n), dentrítsi(n) [old] drzewo [old] dřěvo [rus] dérevo [mac] dъ̀rvu [mac] dr′ä̀wu [slo] drvo [slo] drivú [maz] dār [kur] dār [kur] dār [ang] trēow [old] tré [nor] tre [kur] dār",*déru- ~ *dóru- ~ *dru-,,42,503
[aln] bardhë [sqi] bardhë [alb] i bardh,*bʰerh₁g̑-,,3,508
[aln] gjanë [sqi] gjerë,*seh₁-,,2,509
[sqi] grua [aln] gru(e) [alb] grua,*g̑erh₂-,,3,513
