input,output,meaning,num_cognates,cognate_set_id
[Cornish] dar [Tat] dar [Tocharian A] or [Tocharian B] or [English] tree [Middle English] tre [Norwegian Bokmål] tre [Norwegian Nynorsk] tre [English] druid [Polish] druid [Russian] дерево [Rusyn] дерево [Ukrainian] дерево [Danish] træ [Faroese] træ [Serbo-Croatian] drvo [Macedonian] дрво [Serbo-Croatian] дрво [Polish] drzewo [Swedish] träd [Swedish] trä [Scottish Gaelic] draoidh [Old Church Slavonic] дрѣво [Persian] درود [Old English] teoru [Czech] dřevo [Serbo-Croatian] drevo [Slovak] drevo [Slovene] drevo [Bulgarian] дърво [Baluchi] دار [Central Kurdish] دار [Mazanderani] دار [Persian] دار [Hittite] 𒋫𒀀𒊒 [Luwian] 𒋫𒀀𒊒 [Kashubian] drzéwò [Sanskrit] दारु [Ancient Greek] δρῦς [Gothic] 𐍄𐍂𐌹𐌿 [Belarusian] дрэва [Hittite] 𒋫𒊒 [Ancient Greek] δρυτόμος [Ancient Greek] δόρυ [Lower Sorbian] drjewo [Upper Sorbian] drjewo [Serbo-Croatian] drijevo [Old Church Slavonic] дръва [Serbo-Croatian] drivo [Dutch] teer [Old Armenian] տարր [Irish] dair [Old Irish] dair [Old Armenian] տոռն [Latin] larix [Irish] draoi [Old Saxon] treo [Cornish] derow [Old Irish] druí [Irish] doire [Welsh] dryw [Welsh] derw [Welsh] dâr [Avestan] 𐬛𐬁𐬎𐬭𐬎 [Alemannic German] Läärche [Manx] druaight [Tocharian B] trik- [Faroese] tjøra [Norwegian Bokmål] abildtre,*dóru,,69,259
[Czech] dar [Polish] dar [Slovak] dar [Slovene] dar [Ancient Greek] δῶρον [Greek] δώρο [Slovincian] dår [Old Armenian] տուր [Serbo-Croatian] Darko [Ancient Greek] ἀντίδωρον,*déh₃rom,,10,260
[Danish] give [German] geben [Old English] gafol [Swedish] giva [Ancient Greek] κεφαλή [Old High German] geban [Greek] κεφάλι [Central Franconian] jevve [Alemannic German] gë [Ancient Greek] κεβλή,*gʰebʰ-,,10,261
[English] small [Latin] malus [Russian] малый [Russian] мало [Kashubian] môłi,*(s)mal-,,5,262
[English] church [Ancient Greek] κύριος [Spanish] escombro [Sanskrit] शिव [French] encombrer [Ancient Greek] κύω [Galician] cavorco [English] coelanaglyphic [Ancient Greek] κῖκυς [Ancient Greek] κύαρ [Sanskrit] शम्,*ḱewh₁-,,11,263
[English] grey [English] gray [Old Norse] gras [Norwegian Bokmål] grå [Ligurian] grixo [Venetian] grixo [Ukrainian] здріти [Norwegian Bokmål] abildgrå,*ǵʰreh₁-,,8,264
[Spanish] grey [Sanskrit] गण [Kashmiri] گام [Czech] hrst [Latin] grex [Sanskrit] ग्राम [English] panegyris [Serbo-Croatian] grnuti [Serbo-Croatian] грнути [Kashmiri] गाम [Ancient Greek] ἀγείρω [Scottish Gaelic] aoghaire,*h₂ger-,,12,265
[English] gold [Cebuano] gold [Middle English] gold [North Frisian] gul [Lower Sorbian] złoto [Upper Sorbian] złoto,*ǵʰl̥tóm,,6,266
[English] gold [Cebuano] gold [Middle English] gold [Old Norse] gull [English] arsenic [Lower Sorbian] złoty [Polish] złoty [English] gilder [Catalan] fel [Galician] fel [Latin] fel [Portuguese] fel [Danish] gul [North Frisian] gul [Norwegian Nynorsk] gul [Swedish] gul [English] glede [Russian] злато [Polish] żółty [Russian] желтуха [Ancient Greek] χλωρός [Irish] geal [Scottish Gaelic] geal [Russian] жёлтый [Hungarian] zöld [French] fiel [Lithuanian] geltas [Albanian] diell [Old English] geolu [Lithuanian] žalias [Old Norse] gulr [Russian] зелёный [Polish] złoto [Danish] guld [Swedish] guld [Cornish] gell [Spanish] hiel [Latin] holus [Romanian] fiere [Baluchi] زرد [Persian] زر [Sanskrit] हरि [Italian] fiele [Latvian] zelts [Old English] gled [Limburgish] góldj [Latin] lutum [Dutch] arsenicum [Latin] arsenicum [English] daric [Latin] glisco [Classical Syriac] ܙܪܢܝܟܐ [Latin] caltha [Ancient Greek] χλόη [Latvian] gulbis [Lithuanian] gulbis [Persian] لاجورد [Dutch] glibberig [German] glibberig [Russian] желтеть [Ancient Greek] χόλος [Polish] złotawy [Romanian] zlot [Marathi] जर [Hindi] ज़र [Ancient Greek] ζέλκια [Welsh] glain [Latgalian] zalts [Ancient Greek] ἀγαλλίς [Ancient Greek] ἀρσενικόν [Sanskrit] हरिण [Polish] arszenik [Lithuanian] tulžis,*ǵʰelh₃-,,73,267
[Danish] gold [Swedish] glad [English] gale [Old Norse] gala [English] geld [Dutch] geld [English] yelp [English] gloat [Galician] galar [Czech] želva [Serbo-Croatian] želva [Slovene] želva [Greek] χείλος [Ancient Greek] χεῖλος [Ancient Greek] χελιδών [Icelandic] gelta [Faroese] gelda [Icelandic] gelda [Welsh] galw [Scots] yeld [Old Armenian] գեղգեղեմ [Upper Sorbian] žołwja [English] galp [Danish] gjalde [Gothic] 𐌲𐌹𐌻𐌸𐌰 [Albanian] galdoj [Old Norse] gǫltr [Galician] galra [Russian] желвь,*gʰel-,,29,268
[Old English] gold [Old Dutch] golt,*ǵʰĺ̥tom,,2,269
[English] blue [English] blow [Marshallese] būļu,*bʰlēw-,,3,270
[English] red [Middle English] red [Old English] read [German Low German] rod [Hunsrik] rod [Old Saxon] rod [Dutch] rood [German] rot [Old High German] rot [German Low German] root [Middle Dutch] root [Swedish] röd [Hunsrik] Rod [Old Norse] rauðr [Norwegian Nynorsk] raud [Faroese] reyður [Norwegian Bokmål] rød [Afrikaans] rooi [Sanskrit] लोह [Indonesian] logam [North Frisian] ruar [Northern Sami] ruovdi [Old Swedish] røþer [Central Franconian] roeëd,*h₁rowdʰós,,24,271
[English] yellow [Marshallese] iaļo,*ǵʰelh₃wos,,2,272
[Galician] tempo [Indonesian] tempo [Italian] tempo [Ligurian] tempo [Norwegian Bokmål] tempo [Polish] tempo [Portuguese] tempo [Portuguese] temporal [Latin] tempus [Sardinian] tempus [Catalan] temps [French] temps [Norman] temps [Romansch] temps [Romansch] temp [Walloon] tins [Neapolitan] tiempo [Spanish] tiempo [Friulian] timp [Romanian] timp [Sicilian] tempu [Norwegian Bokmål] a tempo [Romansch] tains [Romansch] taimp [Venetian] tenpo [Occitan] tèms [Asturian] tiempu,*tempos,,27,273
[Norwegian Bokmål] tempo [Norwegian Bokmål] a tempo [Latin] cortumio,*temh₂-,,3,274
[English] you [English] ye [Old English] ge,*yūs,,3,275
[English] young [Manx] aa [Irish] óg [Danish] ung [Norwegian Bokmål] ung [Dutch] jong [Limburgish] jong [Alemannic German] jung [Cimbrian] jung [German] jung [Low German] jung [Mòcheno] jung [Old High German] jung [Scottish Gaelic] òg [Romanian] junc [Old Norse] ungr [Latin] iuvencus [Italian] giovenco [Middle Dutch] jonc [Old Irish] óc [Welsh] ieuanc [Sicilian] jencu [Welsh] ifanc [Yiddish] יונג [Afrikaans] jonk [Alemannic German] jungu [Breton] yaouank [Norwegian Bokmål] yngel [Cimbrian] djung [Alemannic German] jòng [Alemannic German] junhs [Alemannic German] jungà [Norwegian Bokmål] ormeyngel [Norwegian Bokmål] abboryngel,*h₂yuh₁n̥ḱós,,34,276
[English] yet [English] just [English] justice [Norman] justice [Catalan] jurar [Portuguese] jurar [Spanish] jurar [Portuguese] justo [Spanish] justo [Latin] ius [Romanian] jura [French] juste [Dutch] juist [French] jurer [Latin] iustus [Latin] iuro [English] Justinian [Cebuano] husto [Cebuano] hural [Cebuano] hurar [Afrikaans] juis [Latin] Iustinus [Latin] Iustinianus,*h₂yew-,,23,277
[English] yet [Welsh] dy-,*do,,2,278
[English] yet [English] yet [English] gut [Italian] fondere [Old English] gutt [Spanish] hundir [Finnish] kausi [Dutch] gieten [Old Dutch] gietan [Catalan] fondre [French] fondre [Portuguese] fundir [Latin] fundo [Old English] gyte [Italian] fuso [English] gote [Latin] gutta [English] yote [Latin] suffundo [Middle English] gutte [Polish] gichać,*ǵʰewd-,,21,279
[English] weave [English] waffle [English] waffle [English] wave [English] web [Dutch] web [Indonesian] web [English] woof [English] whiff [English] whiff [Old English] wafian [Icelandic] vefur [Old English] webb [Icelandic] vefa [Old Norse] vefa [Latvian] vabole [Faroese] veva [Danish] væve [Norwegian Bokmål] veve [French] gaufre [Ancient Greek] ὑφή [Dutch] weven [Persian] بافتن [Albanian] vej [Swedish] väva [Old Saxon] webbi [Swedish] väv [Faroese] vevur [Tocharian B] wāp- [Tocharian A] wäp- [Ancient Greek] ὑφαίνω [Luxembourgish] wiewen [Persian] گبر [English] wave in [Icelandic] ráfa [Polish] gofr [Ossetian] уафын,*webʰ-,,37,280
[English] write [English] writ [Faroese] rita [Icelandic] rita [Norwegian Nynorsk] rita,*wrey-,,5,281
[English] wrong [Portuguese] abrigo [Galician] abrigar [Portuguese] abrigar [French] abri [French] abrier [Old French] abrier [Serbo-Croatian] vres [Serbo-Croatian] врес [Serbo-Croatian] vrijes [Serbo-Croatian] вријес,*werḱ-,,11,282
[Irish] dual [Scottish Gaelic] dual,*doḱlos,,2,283
[Irish] dual [Scottish Gaelic] dual [Dutch] deugd [German] taugen [Faroese] duga [Icelandic] duga [Irish] duan [Scottish Gaelic] duan [Latin] Tycho [Ancient Greek] τύχη [Greek] τύχη [Afrikaans] deug [Greek] τυχαίνω [English] douth [Albanian] duhet [Old High German] tugan [Ancient Greek] τεῦχος [Russian] Тихон [Belarusian] Ціхан [Pali] duddha [Ancient Greek] τιτύσκομαι,*dʰewgʰ-,,21,284
[English] mouse [Danish] mus [Norwegian Nynorsk] mus [Old English] mus [Old Saxon] mus [Swedish] mus [Czech] myš [Lower Sorbian] myš [Slovak] myš [Upper Sorbian] myš [English] musk [Faroese] mús [Ido] muso [Asturian] mur [Old Portuguese] mur [Spanish] mur [Northern Kurdish] mişk [Persian] موش [Serbo-Croatian] miš [Slovene] miš [Serbo-Croatian] миш [Ukrainian] миша [Russian] мышца [Turkish] Müge [Turkish] müge [Sanskrit] मुष्क [Ossetian] мыст [Belarusian] мыш [West Frisian] mûs,*muh₂s,,29,285
[English] Saxon [English] saw [Albanian] shat [Latin] securis [Old English] saga [Latin] seco [Galician] sino [Old Portuguese] sino [Portuguese] sino [English] sax [Dutch] sax [Old Norse] sax [Swedish] sax [Faroese] sag [Norwegian Bokmål] sag [English] scythe [Galician] cisco [German] Säge [Swedish] såg [Latin] signum [Crimean Tatar] segment [Slovak] segment [Italian] segno [Italian] sasso [Dutch] zaag [Faroese] saksur [Icelandic] sög [Galician] seita [Galician] seita [Portuguese] seita [Serbo-Croatian] сећи [Serbo-Croatian] seći [Old Church Slavonic] сѣщи [Romanian] seca [Portuguese] segar [Westrobothnian] segg [Ukrainian] січень [Serbo-Croatian] žaga [Slovene] žaga [Serbo-Croatian] жага [Galician] seixo [Portuguese] seixo [Russian] сектор [Spanish] saxo [Corsican] segà [Tetum] sinu [Latin] segnis [Emilian] sâs [Old Norse] sǫg [Czech] síci [Slovene] seči [Old Occitan] senh [Sinhalese] සීනුව [Czech] síct [Irish] sábh [Scottish Gaelic] sgian-dubh [Latin] sacena [Persian] حاخشوک [Russian] сечень [Old Church Slavonic] исѣщи [English] sgian dubh [Old English] sigþe [Ukrainian] січ,*sek-,,63,286
[English] queen [Manx] ben [Old Irish] ben [Czech] žena [Old Czech] žena [Serbo-Croatian] žena [Slavomolisano] žena [Slovak] žena [Slovene] žena [Irish] bean [Scottish Gaelic] bean [Faroese] kvinna [Old Norse] kvinna [Swedish] kvinna [English] quean [Scots] quean [Danish] kone [Faroese] kona [Old Norse] kona [Old English] cwene [Old English] cwen [Ancient Greek] γυνή [Persian] زن [Kashubian] żona [Polish] żona [Old Armenian] կին [Danish] kvinde [Lower Sorbian] žona [Upper Sorbian] žona [Irish] bé [Old Irish] bé [Mycenaean Greek] 𐀓𐀙𐀊 [Northern Kurdish] jin [Welsh] benyw [Greek] γυναίκα [Central Kurdish] ژن [Gaulish] bena [Bulgarian] жена [Macedonian] жена [Old Church Slavonic] жена [Russian] жена [Rusyn] жена [Serbo-Croatian] жена [Tocharian A] śäṃ [Tocharian B] śana [Luwian] 𒉿𒈾𒀜𒋾𒅖 [Sanskrit] जनि [Sanskrit] ग्ना [Old Prussian] genno [Gothic] 𐌵𐌹𐌽𐍉 [Ossetian] зӕнӕг [Tajik] зан [Gothic] 𐌵𐌴𐌽𐍃 [Lower Sorbian] žeńska [Cornish] benyn [Dutch] kween [Rusyn] жона [Burmese] ဇနီး [Punjabi] ਜ਼ਨਾਨੀ [Persian] کانم [Tsakonian] γουναίκα [Tocharian B] klīye [Old Norse] kvæn [Old Norse] kván [Irish] Bé [Cappadocian Greek] ναίκα [Laki] ژەن [Punjabi] زنانی,*gʷḗn,,68,287
[Norwegian Bokmål] symptom [Norwegian Bokmål] abstinenssymptom,*som-,,2,288
[English] age [Italian] età [English] aye [English] ay [Portuguese] eterno [French] âge [Latin] aetas [Spanish] edad [Dutch] eeuw [Ancient Greek] αἰών [Ancient Greek] ἀεί [Latin] aevum [Spanish] evo [Galician] idade [Portuguese] idade [German] Äon [Latin] aeternus [Catalan] edat [Occitan] edat [Old French] aage [Old English] ece [Albanian] amshoj [Old Portuguese] ydade [Ancient Greek] αἰεί [Latin] aevitas [Latin] aeviternus [West Frisian] iuw [Limburgish] iew,*h₂eyu-,,28,289
[Danish] age [English] action [English] act [English] actual [English] active [Latin] ago [Danish] agere [Ancient Greek] ἄγω [Norwegian Nynorsk] aka [Old Norse] aka [Italian] agire [Norwegian Nynorsk] haka [French] essayer [English] objurgate [Swedish] agera [Norwegian Bokmål] akt [Norwegian Bokmål] akt [Norwegian Bokmål] akt [Northern Kurdish] ajotin [Greek] άγω [Old Irish] aigid,*h₂éǵeti,,21,290
[Catalan] pit [French] pis [Latin] pectus [Spanish] pecho [Sanskrit] पक्ष [Irish] ucht [Garo] paksa [Indonesian] paksa [Malay] paksa [Istro-Romanian] kľept [Megleno-Romanian] kľept,*peg-,,11,291
[Catalan] or [French] or [Cebuano] oro [Spanish] oro [Galician] ouro [Mirandese] ouro [Old Portuguese] ouro [Portuguese] ouro [Romanian] aur,*h₂é-h₂us-o-,,9,292
[English] thousand [Finnish] tuhat [Lithuanian] tūkstantis [Slovene] tisoč [Russian] тысяча [Czech] tisíc [Slovak] tisíc [Polish] tysiąc [Serbo-Croatian] тисућа [Serbo-Croatian] tisuća [Ukrainian] тисяча [Latvian] tūkstotis [Marshallese] to̧ujin [Yakut] тыһыынча,*tuHsont-,,14,293
[English] thee [Scots] thee,*te,,2,294
[English] thee [German] Tang [Old English] þeon [Russian] туча [Latvian] tikt [Irish] téacht [Welsh] teithi [Gothic] 𐌸𐌴𐌹𐌷𐌰𐌽 [Old Irish] techtaid [Old Irish] dodcadchae [Icelandic] þang [Old Irish] téchtae [Welsh] tynged,*tenk-,,13,295
[Scots] thee [Welsh] tin [English] thigh [Scottish Gaelic] tòin [Old English] þeoh [Persian] تخم [Turkish] tohum [Old Norse] þjó [Irish] tóin [Old Armenian] թուխ,*tewk-,,10,296
[Catalan] pi [French] pin [Romanian] pin [Italian] pino [Spanish] pino [Portuguese] pinho,*poi-,,6,297
[English] zeal [Spanish] enero [Old Irish] á [Latin] ianua [Hindi] जाना [Serbo-Croatian] jahati [Irish] áit [Old Irish] ét [Persian] جلد [Old Irish] áitt [Serbo-Croatian] јахати [Ancient Greek] ζῆλος [Latin] Ianus [Galician] ciúme [Portuguese] ciúme [Gaulish] Iantumaros [Latin] ianus [Lithuanian] joti [Irish] áth [Pali] yāti [Assamese] যোৱা [Sanskrit] यावन् [Tocharian A] yā- [Tocharian B] iyā-,*yeh₂-,,24,298
[English] polyglot [English] complete [English] maniple [Danish] flere [English] comply [German] viel [Ancient Greek] πλήθω [French] foule [Ancient Greek] πλήρης [Russian] плод [Estonian] komplekt [Danish] flest [Welsh] llanw [Ancient Greek] πίμπλημι [Galician] foula [Sanskrit] पिपर्ति [Latin] plerus [Old English] feolo [Latin] pluralitas [Latin] pleo [English] plethorically,*pleh₁-,,21,299
[English] polyglot [English] isogloss [English] glossolalia,*glōgʰs,,3,300
[English] adroit [German] zwischen [Norwegian Bokmål] dress [English] dis- [English] betwixt [Dutch] bis [Latin] bis [Ancient Greek] διά [Ancient Greek] δίς [Greek] δις [Afrikaans] tussen [Dutch] tussen [Old English] to- [Old High German] zuiski [Basque] des- [Catalan] des- [Portuguese] des- [Romanian] des- [Spanish] des- [French] dé- [German] zer- [French] dés- [Latvian] dvīnis [Saterland Frisian] twiske [Middle Dutch] tusschen [Sanskrit] द्विस्,*dwís,,26,301
[English] adroit [Norwegian Bokmål] dress [Latin] rego [English] source [English] rule [English] surge [Ancient Greek] ὀρέγω [Gothic] 𐍂𐌹𐌺𐌰𐌽 [Sanskrit] राष्टि [Middle Irish] éirgid [Estonian] režiim,*h₃réǵeti,,11,302
[English] sol [English] safe [English] holocaust [Indonesian] sip [English] solemn [Italian] soldo [Italian] salute [Catalan] salut [French] salut [Norman] sauf [Latin] salus [Portuguese] saúde [ Bengali ] সব [Latin] salvatio [Albanian] ngjallë [Punjabi] ਸਭ,*solh₂-,,16,303
[English] sol [Catalan] sol [Danish] sol [Galician] sol [Latin] sol [Middle English] sol [Norwegian Bokmål] sol [Norwegian Nynorsk] sol [Old Portuguese] sol [Portuguese] sol [Spanish] sol [Swedish] sol [Westrobothnian] sol [French] soleil [Old French] soleil [Greek] ήλιος [Italian] sole [Russian] солнце [Cornish] howl [Slovene] sonce [Polish] słońce [English] perihelion [Istro-Romanian] sore [Welsh] haul [English] solar [Indonesian] solar [Italian] Sole [Portuguese] Sol [Polish] Słońce [Faroese] sól [Icelandic] sól [Old Norse] sól [Ancient Greek] ἥλιος [Sanskrit] सूर्य [Romanian] soare [Yola] zin [Scottish Gaelic] sùil [Norman] solé [Old Church Slavonic] слъньце [Latgalian] saule [Latvian] saule [Czech] slunce [Old Czech] slunce [Lithuanian] saulė [Gallo] soulai [Irish] súil [Old Irish] súil [Dhivehi] އިރު [Italiot Greek] ilio [Macedonian] сонце [Ukrainian] сонце [Bulgarian] слънце [English] perihelium [Manx] sooill [Persian] خور [Russian] солнечный [Indonesian] suar [Slovak] slnko [Sanskrit] स्वर् [Romansch] sulegl [Aromanian] soari [Romansch] sulai [Gothic] 𐍃𐌰𐌿𐌹𐌻 [Slovak] slnce [Romansch] suglegl [Romansch] sulagl [Ligurian] sô [Lower Sorbian] słyńco [Upper Sorbian] słónco [Old English] swegl [Avestan] 𐬓𐬀𐬥 [Sanskrit] सूर [Tocharian B] swāñco [Old Norse] syðri [Silesian] słōńce [Ladin] surëdl [Sudovian] sała [Old East Slavic] сълньце,*sóh₂wl̥,,78,304
[Indonesian] sol [English] sole [Old English] sole [Portuguese] solo,*swol-,,4,305
[Lower Sorbian] sol [English] salt [Latin] sal [Romansch] sel [German] Halle [Finnish] suola [Lower Sorbian] słodki [Old Irish] sál [Welsh] halen [Ancient Greek] ἅλς [Breton] holen [Old Ruthenian] соль [Czech] sůl [Irish] salann [Old Irish] salann [Manx] sollan [Yiddish] זאַלץ [Tocharian A] sāle [Tocharian B] salyiye [Albanian] ngjelmë [Albanian] gjollë [Navajo] sáál [Komi-Permyak] сов [Komi-Zyrian] сов [Persian] هلتاک [Udmurt] сылал [Ancient Greek] ἅλιος [Ancient Greek] ἅλιος [Albanian] ngjelmët,*séh₂ls,,29,306
[Old English] sol [English] soil [English] soil [English] soil [English] sole [English] sully [French] souiller [English] soal [Old English] solian [German] suhlen [Old English] sylian,*sūl-,,11,307
[Serbo-Croatian] sol [Slovene] sol [Crimean Gothic] salt [Danish] salt [Danish] salt [Faroese] salt [Faroese] salt [Icelandic] salt [Norwegian Bokmål] salt [Norwegian Nynorsk] salt [Swedish] salt [Swedish] salt [French] sel [Dutch] zout [Slovak] soľ [Old English] sealt [German] Salz [Polish] sól [Polish] słodki [Bulgarian] сол [Serbo-Croatian] сол [Slovene] sladek [Czech] sladký [Slovak] sladký [Old Church Slavonic] соль [Russian] соль [Middle English] salten [Old Armenian] աղ [Scots] saut [Old Church Slavonic] сладъкъ [Serbo-Croatian] sladak [Afrikaans] sout [Macedonian] сладок [Russian] солодкий [Ukrainian] солодкий [Serbo-Croatian] сладак [Galician] salgado [Portuguese] salgado [Romagnol] sêl [Ukrainian] сіль [Marshallese] jo̧o̧ļ,*seh₂l-,,41,308
[French] coin [Latin] cuneus [Romanian] cui [Italian] conio [Spanish] cuño [Portuguese] cunha,*h₂ḱū,,6,309
[English] prick [English] prick,*breyǵ-,,2,310
[English] some [English] seem [English] same [English] single [Lithuanian] su [English] assemble [Welsh] fel [English] heterodont [Dutch] samen [English] sincere [Polish] singel [English] singulative [English] sam [English] sam [German] zusammen [Danish] sommer [English] assimilate [Ancient Greek] σύν [Ancient Greek] ἅμα [English] selfsame [Old English] sin- [Old High German] sin- [Old Saxon] sin- [English] beseem [Italian] semplice [Latin] similis [Old Norse] semja [Old English] sam- [Old Armenian] համ- [Old Armenian] անտառ [Old Irish] Samain [Latin] singulus [Latin] sincerus [Albanian] gjithë [Scots] samin [Latin] simitu [Old Irish] samail [Old Armenian] ամ- [Norman] semblier [Slovak] sú- [Old Persian] 𐏃𐎥𐎶𐎫𐎠𐎴 [Latin] simpulum [Ancient Greek] ἄμυδις [Irish] sámh [Sanskrit] सम्- [Polish] singiel [Sanskrit] संदिह्,*sem-,,47,311
[English] shit [German] scheißen [German] Scheiße [Dutch] schijten [West Frisian] skite [Faroese] skíta [Icelandic] skíta [Old Norse] skíta [Persian] شکستن [Old Church Slavonic] щедръ [Polish] szajs [Persian] گسستن [Sanskrit] छिद् [Tocharian A] kät- [Tocharian B] kät- [Sanskrit] छिद्र [Sanskrit] विच्छिन्न [Lithuanian] kedėti,*skeyd-,,18,312
[English] shit [Middle English] schiten [Sanskrit] छेदि,*skéydt,,3,313
[English] ass [Middle English] ars [English] arse [Icelandic] rass [Norwegian Nynorsk] rass [Dutch] aars [English] anuran [Ancient Greek] οὐρά [Irish] earr [Irish] anúra,*h₃érsos,,10,314
[Latvian] ass [Latin] ala [Swedish] axel [Spanish] eje [Serbo-Croatian] оса [German] Achsel [French] ais [Italian] asse [Hindi] अक्ष [Sanskrit] अक्ष [Polish] oś [Latin] asser [Galician] eixe [Galician] eixo [Portuguese] eixo [Portuguese] áxis [Irish] aiseal [Old Saxon] ahsla [Catalan] eix [Albanian] ashkë [Lower Sorbian] wós [Norwegian Bokmål] akse [Ancient Greek] ἄξων [Lithuanian] ašis [Norwegian Bokmål] abscisseakse [Tamil] அச்சு,*h₂eḱs-,,26,315
[Manx] ass [Irish] as [Czech] z [Lower Sorbian] z [Polish] z [Ukrainian] з [English] extremity [Irish] ach [Latin] ex [Catalan] sobre [Spanish] sobre [Norwegian Bokmål] superlativ [Galician] antes [Portuguese] antes [Spanish] antes [English] supernumerary [English] emasculate [English] exhilarate [Ancient Greek] ἐκ [Latin] supero [Romanian] spre [Latvian] iz [Ancient Greek] ἐχθρός [Albanian] sh- [Albanian] shqipoj [Welsh] eang [Albanian] shtreth [Norwegian Bokmål] koeffisient [English] extimate [Welsh] ech- [Welsh] dieithr [Old Irish] a/Old Irish [Norwegian Bokmål] absolutt superlativ [Norwegian Bokmål] absorberingskoeffisient [Norwegian Bokmål] absorpsjonskoeffisient,*h₁eǵʰs,,35,316
[English] sieve [Ancient Greek] σάπων,*seyp-,,2,317
[English] for [Old Irish] ar [Latin] primus [English] principle [Albanian] pris [Norwegian Bokmål] prima [Polish] pierwszy [Swedish] före [Ancient Greek] παρά [Greek] παρά [English] prescient [Latin] prandium [Russian] вопреки [Istro-Romanian] prvi [Serbo-Croatian] prvi [Slovene] prvi [English] presentative [Latin] prae [Serbo-Croatian] први [Latin] praeter [Latin] pratum [Albanian] parë [Czech] prvý [Slovak] prvý [Tocharian A] pärwat [Old Armenian] հարաւ [Norwegian Bokmål] a prima vista [Macedonian] прв [Old Church Slavonic] прьвъ [Ancient Greek] πάρος [Bulgarian] въпреки [Latgalian] pyrmais,*preh₂-,,32,318
[Latin] for [Russian] баять [Latin] fata [Ancient Greek] φημί [Old Armenian] բամ [Serbo-Croatian] bajati [Serbo-Croatian] бајати [Macedonian] бае [Polish] bajać [Latin] Fata [Ukrainian] баяти,*bʰéh₂ti,,11,319
[Old Irish] for [Irish] ar [Afrikaans] oor [English] over [Dutch] over [Latin] super [Old Irish] format [English] hyper- [English] Vercingetorix [English] eaves [Old English] ofer [Ancient Greek] ὑπέρ [Middle Welsh] gor [Persian] ابر [Limburgish] euver [Old Armenian] վեր [Scottish Gaelic] farmad [Indonesian] hiper- [Gothic] 𐌿𐍆𐌰𐍂 [Cornish] gor- [Welsh] gor- [Sanskrit] उपरि [Middle Persian] 𐭬𐭣𐭬 [Hindi] ऊपर [Old Irish] immar [Old Persian] 𐎢𐎱𐎼𐎡𐎹 [Russian] гипер- [Ancient Greek] ὑπερ- [Old English] ufor [Old Welsh] guor [Ukrainian] гіпер- [Limburgish] övver,*upér,,32,320
[English] finish [English] ditch [English] fix [Swedish] dike [Latin] finis [Old English] dic [German] Teich [English] fichu [Norwegian Bokmål] infinitiv [Yiddish] טײַך [Dutch] fixeren [Icelandic] díki [Albanian] deng [Dutch] fiksen [Westrobothnian] dikj [Norwegian Bokmål] a-infinitiv,*dʰeygʷ-,,16,321
[English] this [Westrobothnian] he [Alemannic German] s [Old English] þe [Tocharian B] ente [Portuguese] tal [Westrobothnian] diss [Sanskrit] तद् [German] dieser [Icelandic] það [Old Norse] þat [Albanian] tërë [Pali] tattha [Sanskrit] तत्र [Albanian] tanë [Proto-Norse] ᚦᛡᛏ [Tocharian A] äntannene [Tocharian A] äntāne,*tód,,18,322
[Danish] el [Swedish] al [Norwegian Bokmål] older [Norwegian Nynorsk] older [Faroese] elri [Icelandic] elri [Lower Sorbian] wólša,*h₂élisos,,7,323
[Latin] at [English] perennial [Ancient Greek] ἀτάρ [Tocharian B] atiyo [Tocharian A] āti [Latvian] atāls [Old Prussian] attolis,*h₂et-,,7,324
[English] elk [Swedish] älg [Westrobothnian] älg,*h₁élḱis,,3,325
[English] deer [Old Norse] dýr [Afrikaans] dier [Dutch] dier [Middle Dutch] dier [Old Dutch] dier [West Frisian] dier [Ladin] tier [Swedish] djur [German] Tier [Norwegian Bokmål] dyr [Norwegian Nynorsk] dyr [Old English] deor [Old High German] tior [Old Norse] diūʀ,*dʰewsóm,,15,326
[French] an [Romanian] an [Catalan] any [Latin] annus [Italian] anno [Old Spanish] anno [Spanish] año [Corsican] annu,*h₂et-no-,,8,327
[Latin] an [Albanian] a [Gothic] 𐌰𐌽,*h₂en,,3,328
[English] fall [English] fell [Faroese] falla [Icelandic] falla [Old Norse] falla [Old Swedish] falla,*peh₃lH-,,6,329
[Norman] picture [English] foe [English] file [English] feud [Czech] pěkný [Romanian] opis [Polish] piękny [Finnish] peikko [Portuguese] pimento [Persian] نوشتن [Latin] pingo [Serbo-Croatian] pisati [Portuguese] pimenta [Bulgarian] пиша [Romanian] zapis [Galician] pego [Dutch] veeg [Ancient Greek] ποικίλος [Scots] faw [Slovak] písať [Sanskrit] पिशङ्ग [Lower Sorbian] pisaś [Lithuanian] piešti [Lithuanian] piešas [Macedonian] пишува [Lithuanian] piktas [Irish] pimeantó [Persian] سبشت [Ashokan Prakrit] 𐨣𐨁𐨤𐨁𐨯𐨿𐨟 [Old Armenian] պիսակ [Galician] pégaro [Sanskrit] पिङ्ग [Romanian] zapiscă [Ossetian] фыссын [Sanskrit] पिङ्क्ते,*peyḱ-,,35,330
[Tocharian A] wiki [Extremaduran] venti [Hindi] बीस [Corsican] vinti [Persian] بیست [Tocharian B] ikäṃ [Latvian] divdesmit [Lithuanian] dvidešimt [Bactrian] οιστο,*dwi(h₁)dḱm̥ti,,9,331
